id,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,preferred_source,source_examples,status,notes,allowed_forms,discouraged_forms,italic_automation
bbt-0001,абхишека,abhiseka|abhisheka,philosophical_term,абхишека,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,BBT direct entry not found; kept manually as Sanskrit ritual term.,,Абхишека,skip
bbt-0002,арати,arati,philosophical_term,арати,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,Standalone and compound worship terms stay italic.,мангала-арати|туласи-арати|сандхья-арати,,always
bbt-0003,ачарья,acarya|acharya,honorific,ачарья,родительный множественного числа ачарьев,conditional,no_diacritics_in_prose,lowercase_standalone_capitalized_in_names,bbt_manual_v1,BBT:Слова; BBT:Имена; BVKS,approved,Standalone term italic; in proper names and in ачарья-основатель direct.,Ачарья,,skip
bbt-0004,ашрам,asrama|ashram,philosophical_term,ашрам,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BBT:География; BVKS,approved,Standalone and ashram names italic; place names with -ашрам direct.,,Ашрам,skip
bbt-0005,Баларама,Balarama|Balaram,personal_name,Баларама,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BVKS; Vedabase RU,approved,Proper name.,Баларама|Балараме|Баларамы,,never
bbt-0006,брахман,brahmana|brahman,philosophical_term,брахман,,conditional,no_diacritics_in_prose,contextual_brahman_split,bbt_manual_v1,BBT:Слова; BBT:Прописные; BVKS,approved,Caste sense italic lowercase; impersonal Brahman direct capitalized; Vedic Brahmanas separate sense.,Брахман|Брахманы,,skip
bbt-0007,брахмачари,brahmacari|brahmachari,philosophical_term,брахмачари,,conditional,no_diacritics_in_prose,lowercase_standalone_capitalized_in_names,bbt_manual_v1,BBT:Слова; BBT:Имена; BVKS,approved,Standalone term italic; as a personal title in names direct.,Брахмачари,,skip
bbt-0008,бхакти,bhakti,philosophical_term,бхакти,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Курсив; BBT:Слова; BVKS,approved,Core Sanskrit term; keep lowercase outside sentence start.,Бхакти,,skip
bbt-0009,бхога,bhoga,philosophical_term,бхога,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,Manual normalization from corpus evidence; treat as Sanskrit offering term.,,Бхога,skip
bbt-0010,бхога-тьяга,bhoga-tyaga,philosophical_term,бхога-тьяга,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,Fixed Sanskrit compound.,,,always
bbt-0011,вайшнав,vaisnava|vaishnava,philosophical_term,вайшнав,,conditional,no_diacritics_in_prose,lowercase_standalone_direct,bbt_manual_v1,BBT:Курсив; BBT:Слова; BVKS,approved,Standalone word direct; compounds may have their own policy.,вайшнава|вайшнавы|вайшнавами|Гаудия-вайшнав,,skip
bbt-0012,ванапрастха-ашрам,vanaprastha-asrama|vanaprastha-ashram,philosophical_term,ванапрастха-ашрам,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,Ashrama name stays italic as a fixed compound.,,,always
bbt-0013,веданта,vedanta|vedānta,philosophical_term,веданта,,conditional,no_diacritics_in_prose,lowercase_philosophy_title_contextual,bbt_manual_v1,BBT:Слова; BVKS,approved,Philosophical system italic lowercase; title sense direct as Веданта or Веданта-сутра.,Веданта,,skip
bbt-0014,Вишну,Visnu|Vishnu,personal_name,Вишну,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:Прописные; BVKS; Vedabase RU,approved,Proper divine name in Russian prose.,Вишну|Господь Вишну,,never
bbt-0015,Вриндаван,Vrndavana|Vrindavan|Vrindavana,place_name,Вриндаван,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:География; BVKS; Vedabase RU,approved,Canonical BBT place name; compounds handled separately.,Шри Вриндаван,,never
bbt-0016,гаятри,gayatri,philosophical_term,гаятри,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,Italic; in phrases like мантра гаятри no diacritics.,гаятри-мантра|мантра гаятри,,skip
bbt-0017,госвами,gosvami|goswami,honorific,госвами,,conditional,no_diacritics_in_prose,lowercase_standalone_capitalized_in_names,bbt_manual_v1,BBT:Слова; BBT:Имена; BVKS,approved,Six Gosvamis and personal names direct; standalone title italic.,Госвами|шесть Госвами,,skip
bbt-0018,грихастха-ашрам,grhastha-asrama|grihastha-ashram|grihastha-asrama,philosophical_term,грихастха-ашрам,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,Ashrama name in BBT form.,,грихастха-ашрама,always
bbt-0019,даршан,darsana|darshan,philosophical_term,даршан,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS; Vedabase RU,approved,Sanskrit borrowing kept as glossary term.,,,skip
bbt-0020,Джаганнатха,Jagannatha|Jagannath,personal_name,Джаганнатха,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:Имена; BBT:География; Vedabase RU,approved,Canonical personal and deity name form.,Джаганнатхадева,Джаганнатх,never
bbt-0021,ИСККОН,ISKCON,organization,ИСККОН,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:Слова; BVKS,approved,Institution name in all caps.,ИСККОН|Движение ИСККОН,,never
bbt-0022,кришна-бхакти,krsna-bhakti|krishna-bhakti,philosophical_term,кришна-бхакти,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,Fixed Sanskrit compound.,,,always
bbt-0023,лила,lila|līlā,philosophical_term,лила,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS; Vedabase RU,approved,Use lowercase italic lemma; compounds and inflections stay contextual.,кришна-лила|чайтанья-лила|вриндавана-лила,лилах,skip
bbt-0024,майявади,mayavadi|māyāvādī,philosophical_term,майявади,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS; Vedabase RU,approved,Italic and solid spelling.,,,always
bbt-0025,Майяпур,Mayapur,place_name,Майяпур,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:География; BVKS; Vedabase RU,approved,Canonical BBT place name.,,,never
bbt-0026,Матхура,Mathura,place_name,Матхура,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:География; BVKS; Vedabase RU,approved,Canonical BBT place name.,Южная Матхура,,never
bbt-0027,Навадвипа,Navadvipa|Nabadwipa|Navadwipa,place_name,Навадвипа,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:География; Vedabase RU,approved,Canonical BBT place name and base of compounds.,Навадвипа-дхама,,never
bbt-0028,Пури,Puri,place_name,Пури,,no,no_diacritics_in_prose,keep_capitalized_in_place_names,bbt_manual_v1,BBT:География; Vedabase RU,approved,Use capitalized place component; compounds often hyphenated.,,,skip
bbt-0029,рага-бхакти,raga-bhakti,philosophical_term,рага-бхакти,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,Fixed Sanskrit compound.,,,always
bbt-0030,санньяси,sannyasi|sannyasin,philosophical_term,санньяси,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,Standalone term italic; direct compounds like лжесанньяси handled separately.,,,skip
bbt-0031,санньяси-майявади,sannyasi-mayavadi,philosophical_term,санньяси-майявади,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,Fixed Sanskrit compound.,,,always
bbt-0032,санория-брахман,,philosophical_term,санория-брахман,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,BBT rule explicitly rejects санодия; use санория stem.,санория|санории|санория-брахманы,санодия-брахманам|санодия-брахман,always
bbt-0033,шакта,sakta|shakta,philosophical_term,шакта,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,Manual corpus-backed term; keep lowercase outside sentence start.,шакты|шактами,Шакта,skip
bbt-0034,шастра,sastra|shastra,philosophical_term,шастра,,conditional,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BBT:Слова; BVKS,approved,BBT lemma is шастра; quoted headings remain contextual.,шастры|шастр,шастр,skip
bbt-0035,Шри,sri,honorific,Шри,,no,no_diacritics_in_prose,space_before_proper_name_no_hyphen,bbt_manual_v1,BBT:Имена; BVKS,approved,Use a space after Шри in proper names; compounds have their own policy.,Шри Шри|Шри Гурудев,,skip
bbt-0036,шри-кришна-санкиртана,sri-krsna-sankirtana|sri-krishna-sankirtana,honorific,шри-кришна-санкиртана,,yes,no_diacritics_in_prose,lowercase_except_sentence_start,bbt_manual_v1,BVKS; Vedabase RU,approved,Quoted Sanskrit phrase; keep italic when retained in prose.,шри-кришна-санкиртане,,skip
bbt-0037,Шрила,Srila|Shrila,honorific,Шрила,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BVKS; Vedabase RU; BBT:Имена,approved,Honorific prefix in direct roman form.,Шрила Прабхупада|Шрила Гурудев,,never
bbt-0038,Шримати,Srimati,honorific,Шримати,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BBT:Прописные; BBT:Имена; BVKS,approved,Honorific prefix in direct roman form.,Шримати Радхарани|Шримати Вишнуприя-деви,,never
bbt-0039,Шрипада,Sripada,honorific,Шрипада,,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BVKS; Vedabase RU,approved,Honorific title in direct roman form.,,,never
bbt-0055,Гурудев,Gurudeva|Gurudev,honorific,Гурудев,склоняется по-русски; словарная форма Гурудев,no,no_diacritics_in_prose,keep_capitalized,bbt_manual_v1,BVKS local house style,approved,Local house title form; grammatical forms like Гурудева remain allowed.,Шри Гурудев|Шри Гурудева|Шрила Гурудев|Шрила Гурудева|Гурудева|Гурудеву|Гурудевом|о Гурудеве,,never
